GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Axis-Spring,Axis.Axis_Spring.data.entity,ProductEntity,0,17,0,0,0,6,0,1,0,1
Axis-Spring,Axis.Axis_Spring.data.entity,BaseEntity,3,0,0,0,1,0,1,0,1,0
Axis-Spring,Axis.Axis_Spring,AxisSpringApplication,5,3,0,0,2,1,1,1,1,1
Axis-Spring,Axis.Axis_Spring.data.dao,ProductDaoImpl,49,6,0,0,10,3,6,1,6,1
Axis-Spring,Axis.Axis_Spring.data.dto,MemberDto,3,0,0,0,1,0,1,0,1,0
Axis-Spring,Axis.Axis_Spring.data.dto,ProductDto,0,45,0,0,0,18,0,9,0,9
Axis-Spring,Axis.Axis_Spring.data.handler,ProductDataHandlerImpl,19,6,0,0,4,3,4,1,4,1
Axis-Spring,Axis.Axis_Spring.common.exception,AxisSpringException,27,0,0,0,8,0,5,0,5,0
Axis-Spring,Axis.Axis_Spring.common.exception,AxisSpringExceptionHandler,78,7,0,0,15,2,2,1,2,1
Axis-Spring,Axis.Axis_Spring.common,Constants.ExceptionClass,39,0,0,0,7,0,4,0,4,0
Axis-Spring,Axis.Axis_Spring.common,Constants,3,0,0,0,1,0,1,0,1,0
Axis-Spring,Axis.Axis_Spring.service,ProductServiceImpl,27,27,0,0,9,9,2,3,2,3
Axis-Spring,Axis.Axis_Spring.service,RestTemplateServiceImpl,256,7,0,0,78,2,5,1,5,1
Axis-Spring,Axis.Axis_Spring.controller,ProductController,19,102,0,0,3,22,3,3,3,3
Axis-Spring,Axis.Axis_Spring.controller,RestTemlpateController,20,6,0,0,5,3,5,1,5,1
Axis-Spring,Axis.Axis_Spring.controller,PostController,31,3,0,0,6,1,4,1,4,1
Axis-Spring,Axis.Axis_Spring.controller,GetController,32,3,0,0,10,1,7,1,7,1
Axis-Spring,Axis.Axis_Spring.controller,HelloController,83,7,0,0,20,2,4,1,4,1
Axis-Spring,Axis.Axis_Spring.controller,PutController,35,3,0,0,9,1,6,1,6,1
Axis-Spring,config,OpenAPIConfiguration,17,0,0,0,3,0,2,0,2,0
